datetime,people,area,density
2024-02-12 12:34:09.357717,5,25,0.2
2024-02-12 12:35:08.781459,8,25,0.32
2024-02-12 12:36:08.432450,2,25,0.08
2024-02-12 12:37:09.131464,1,25,0.04
2024-02-12 12:38:08.194916,2,25,0.08
2024-02-12 12:39:07.700476,4,25,0.16
2024-02-12 12:40:07.222586,2,25,0.08
2024-02-12 12:41:06.792445,4,25,0.16
2024-02-12 12:42:07.810846,5,25,0.2
2024-02-12 12:43:07.105531,4,25,0.16
2024-02-12 12:44:06.302106,8,25,0.32
2024-02-12 12:45:05.551316,4,25,0.16
2024-02-12 12:46:04.666906,11,25,0.44
2024-02-12 12:47:03.902983,5,25,0.2
2024-02-12 12:48:03.420453,3,25,0.12
2024-02-12 12:49:03.186170,0,25,0.0
2024-02-12 12:50:02.508982,0,25,0.0
2024-02-12 12:51:02.249996,2,25,0.08
2024-02-12 12:52:01.353112,1,25,0.04
2024-02-12 12:53:00.675299,0,25,0.0
2024-02-12 12:54:00.265539,1,25,0.04
2024-02-12 12:54:59.825295,0,25,0.0
2024-02-12 12:55:59.154233,2,25,0.08
2024-02-12 12:56:58.551289,2,25,0.08
2024-02-12 12:57:57.703171,1,25,0.04
2024-02-12 12:58:57.279955,2,25,0.08
2024-02-12 12:59:56.537462,4,25,0.16
2024-02-12 13:00:56.102346,1,25,0.04
2024-02-12 13:01:55.803343,1,25,0.04
2024-02-12 13:02:54.934376,3,25,0.12
2024-02-12 13:03:54.151207,3,25,0.12
2024-02-12 13:04:53.165936,4,25,0.16
2024-02-12 13:05:52.375211,1,25,0.04
2024-02-12 13:06:51.667128,1,25,0.04
2024-02-12 13:07:51.467471,2,25,0.08
2024-02-12 13:08:50.887633,1,25,0.04
2024-02-12 13:09:50.387420,0,25,0.0
2024-02-12 13:10:50.003636,4,25,0.16
2024-02-12 13:11:49.185917,5,25,0.2
2024-02-12 13:12:48.634331,4,25,0.16
2024-02-12 13:13:47.846174,7,25,0.28
2024-02-12 13:14:48.769631,5,25,0.2
2024-02-12 13:15:47.944761,3,25,0.12
2024-02-12 13:16:47.005154,4,25,0.16
2024-02-12 13:17:46.338012,13,25,0.52
2024-02-12 13:18:47.110813,8,25,0.32
2024-02-12 13:19:46.497522,4,25,0.16
2024-02-12 13:20:45.920900,3,25,0.12
2024-02-12 13:21:44.954733,7,25,0.28
2024-02-12 13:22:44.164168,6,25,0.24
2024-02-12 13:23:43.413581,8,25,0.32
2024-02-12 13:24:42.922639,5,25,0.2
2024-02-12 13:25:42.179086,8,25,0.32
2024-02-12 13:26:41.553933,8,25,0.32
2024-02-12 13:27:42.540344,8,25,0.32
2024-02-12 13:28:42.118917,4,25,0.16
2024-02-12 13:29:43.047475,4,25,0.16
2024-02-12 13:30:42.251349,3,25,0.12
2024-02-12 13:31:41.257092,5,25,0.2
2024-02-12 13:32:41.002239,2,25,0.08
2024-02-12 13:33:40.412828,6,25,0.24
2024-02-12 13:34:39.891515,4,25,0.16
2024-02-12 13:35:39.179666,3,25,0.12
2024-02-12 13:36:38.514701,4,25,0.16
2024-02-12 13:37:37.812548,1,25,0.04
2024-02-12 13:38:37.590669,7,25,0.28
2024-02-12 13:39:38.477579,5,25,0.2
2024-02-12 13:40:38.003203,5,25,0.2
2024-02-12 13:41:37.168640,5,25,0.2
2024-02-12 13:42:36.576154,4,25,0.16
2024-02-12 13:43:37.469359,6,25,0.24
2024-02-12 13:44:37.197070,2,25,0.08
2024-02-12 13:45:36.694684,5,25,0.2
2024-02-12 13:46:36.039716,1,25,0.04
2024-02-12 13:47:35.464551,1,25,0.04
2024-02-12 13:48:35.152908,1,25,0.04
2024-02-12 13:49:34.776006,1,25,0.04
2024-02-12 13:50:34.180350,5,25,0.2
2024-02-12 13:51:33.612666,0,25,0.0
2024-02-12 13:52:33.626552,1,25,0.04
2024-02-12 13:53:33.452528,4,25,0.16
2024-02-12 13:54:32.865820,3,25,0.12
2024-02-12 13:55:32.517276,2,25,0.08
2024-02-12 13:56:31.943233,1,25,0.04
2024-02-12 13:57:31.067623,3,25,0.12
2024-02-12 13:58:30.921125,4,25,0.16
2024-02-12 13:59:30.485881,0,25,0.0
2024-02-12 14:00:30.104838,2,25,0.08
2024-02-12 14:01:29.441694,0,25,0.0
2024-02-12 14:02:28.807773,0,25,0.0
2024-02-12 14:03:28.378282,4,25,0.16
2024-02-12 14:04:27.786890,0,25,0.0
2024-02-12 14:05:28.530246,2,25,0.08
2024-02-12 14:06:28.096238,1,25,0.04
2024-02-12 14:07:27.471874,0,25,0.0
2024-02-12 14:08:26.764697,4,25,0.16
2024-02-12 14:09:26.427517,3,25,0.12
2024-02-12 14:10:25.992553,0,25,0.0
2024-02-12 14:11:25.414092,0,25,0.0
2024-02-12 14:12:26.415927,3,25,0.12
2024-02-12 14:13:26.071549,2,25,0.08
2024-02-12 14:14:25.308953,3,25,0.12
2024-02-12 14:15:24.650302,7,25,0.28
2024-02-12 14:16:24.031694,3,25,0.12
2024-02-12 14:17:23.514763,4,25,0.16
2024-02-12 14:18:23.295757,3,25,0.12
2024-02-12 14:19:22.353853,10,25,0.4
2024-02-12 14:20:21.596293,5,25,0.2
2024-02-12 14:21:20.657985,6,25,0.24
2024-02-12 14:22:20.029797,5,25,0.2
2024-02-12 14:23:19.390345,5,25,0.2
2024-02-12 14:24:18.564595,1,25,0.04
2024-02-12 14:25:18.229198,3,25,0.12
2024-02-12 14:26:17.422614,6,25,0.24
2024-02-12 14:27:16.981434,7,25,0.28
2024-02-12 14:28:17.961044,8,25,0.32
2024-02-12 14:29:17.339215,2,25,0.08
2024-02-12 14:30:16.506093,4,25,0.16
2024-02-12 14:31:16.205995,3,25,0.12
2024-02-12 14:32:15.547044,3,25,0.12
2024-02-12 14:33:14.795192,0,25,0.0
2024-02-12 14:34:14.208941,2,25,0.08
2024-02-12 14:35:13.666375,2,25,0.08
2024-02-12 14:36:12.769050,1,25,0.04
2024-02-12 14:37:11.868630,0,25,0.0
2024-02-12 14:38:11.781341,4,25,0.16
2024-02-12 14:39:12.513894,3,25,0.12
2024-02-12 14:40:11.957153,1,25,0.04
2024-02-12 14:41:10.986768,0,25,0.0
2024-02-12 14:42:10.174808,0,25,0.0
2024-02-12 14:43:09.711637,2,25,0.08
2024-02-12 14:44:10.601726,1,25,0.04
2024-02-12 14:45:09.817180,1,25,0.04
2024-02-12 14:46:09.114239,3,25,0.12
2024-02-12 14:47:08.261687,3,25,0.12
2024-02-12 14:48:07.512850,1,25,0.04
2024-02-12 14:49:06.600900,0,25,0.0
2024-02-12 14:50:06.063389,1,25,0.04
2024-02-12 14:51:05.226457,2,25,0.08
2024-02-12 14:52:04.638471,1,25,0.04
2024-02-12 14:53:03.863213,3,25,0.12
2024-02-12 14:54:02.896702,1,25,0.04
2024-02-12 14:55:02.254825,4,25,0.16
2024-02-12 14:56:01.518763,2,25,0.08
2024-02-12 14:57:00.856095,2,25,0.08
2024-02-12 14:58:00.208682,1,25,0.04
